source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'NPR'}",Brittney Melton,"Automakers granted relief from tariffs. And, fired USDA workers return to work","President Trump announced a one-month reprieve from import tariffs for automakers after he imposed them on Canada and Mexico. And, thousands of fired USDA workers return to work today.",https://www.npr.org/2025/03/06/g-s1-52336/up-first-newsletter-big-3-automakers-trump-tariffs-fired-usda-workers,https://media.npr.org/assets/img/2022/10/07/gettyimages-853168600_wide-0a9f3ad2069d60239b58e2a9696d06e3d325a23b.jpg?s=1400&c=100&f=jpeg,2025-03-06T11:35:02Z,"Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.
Today's top st… [+5094 chars]"
"{'id': None, 'name': 'Xataka.com'}",Javier Pastor,Operar con bitcoin en bancos como el BBVA es estupendo salvo por una cosa: la pelota estará siempre en tu tejado,"El BBVA acaba de convertirse en el primer gran banco tradicional en permitir a sus clientes operar con criptomonedas. Lo anunciaba esta semana tras recibir la llamada licencia MiCA (Markets in Crypto Assets), la regulación europea que se aprobó en abril de 20…",https://www.xataka.com/empresas-y-economia/operar-bitcoin-bancos-como-bbva-estupendo-salvo-cosa-pelota-estara-siempre-tu-tejado,https://i.blogs.es/702bcd/bbva/840_560.jpeg,2025-03-12T07:01:47Z,El BBVA acaba de convertirse en el primer gran banco tradicional en permitir a sus clientes operar con criptomonedas. Lo anunciaba esta semana tras recibir la llamada licencia MiCA (Markets in Crypto… [+3932 chars]
"{'id': None, 'name': 'Yahoo Entertainment'}",,Elon Musk Wonders If US Gold Reserves Are Regularly Audited—Cynthia Lummis Tells DOGE Lead It's Time To Add Bitcoin For Transparency,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_7959224a-fb92-4a88-be43-1e4d76c89e4e,,2025-02-17T19:30:14Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",,Michael Saylor once told people to mortgage their home to buy Bitcoin—now the cryptocurrency is down so much he’s wants them to harvest a kidney,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_e3d782be-5929-49f8-be06-0f3cdbab32c4,,2025-02-28T18:56:17Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
"{'id': None, 'name': 'heise online'}",Niklas Jan Engelking,Größter Diebstahl der Geschichte: Bybit nutzte Freeware und wurde dadurch Opfer,Eine unsichere Freeware ermöglichte den Angreifern den Milliarden-Diebstahl bei Bybit. Die Probleme waren schon lang bekannt.,https://www.heise.de/news/Groesster-Diebstahl-der-Geschichte-Bybit-nutzte-Freeware-und-wurde-dadurch-Opfer-10309241.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/8/1/5/3/9/8/shutterstock_1968404476-21e25c3afbb03770.jpg,2025-03-08T16:42:00Z,"Eine Recherche bringt Neues im Fall Bybit ans Licht: Der größte Diebstahl der Geschichte wurde möglich, weil das Unternehmen sich auf eine unsichere Freeware verließ. ""Safe"" heißt die betroffene Anwe… [+2555 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Andrew J. Hawkins,Is Tesla cooked?,"Tesla stock plunged 15 percent on Monday, its steepest drop in five years. The price is down over 50 percent since its December highs. Tesla owners, disgusted with Elon Muskâs slash-and-burn tactics for the Trump administration, are selling their vehicles a…",https://www.theverge.com/tesla/627894/tesla-stock-sales-protest-musk-trump-doge,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/STK022_ELON_MUSK_4_CVIRGINIA_B.webp?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-03-11T22:17:04Z,"The CEO is absent, the stocks are plummeting, and the brand is toxic. Teslas future looks grim. 
The CEO is absent, the stocks are plummeting, and the brand is toxic. Teslas future looks grim. 
Tes… [+10200 chars]"
"{'id': None, 'name': 'heise online'}",Daniel AJ Sokolov,WTF: ICANN Opfer von Phishing: Online-Konto für Kryptowährungs-Reklame missbraucht,"""Die ICANN gibt dem Internet seine eigene Währung"", schallte es von einem offiziellen ICANN-Konto eines Sozialen Netzes. Hinter ""$DNS"" stecken aber Kriminelle.",https://www.heise.de/news/ICANN-Opfer-von-Phishing-Online-Konto-fuer-Kryptowaehrungs-Reklame-missbraucht-10280537.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/8/0/0/3/8/4/shutterstock_1924985480-0595137c304ec176.jpg,2025-02-12T21:24:00Z,"Die Netz-Selbstverwaltung ICANN ist Phishing zum Opfer gefallen. Trotz Multi-Faktor-Authentifizierung ist es einem Angreifer am Dienstag gelungen, das offizielle ICANN-Konto im Sozialen Netz X zu übe… [+3086 chars]"
"{'id': 'le-monde', 'name': 'Le Monde'}",Le Monde avec AFP,Cryptomonnaies : Donald Trump octroie une « réserve stratégique de bitcoins » aux Etats-Unis,"La décision, actée par décret jeudi, constitue une marque de soutien au secteur, qui a contribué au financement de la campagne présidentielle du républicain. Mais les avoirs américains – quelque 200 000 bitcoins – sont issus de saisies judiciaires et n’ont pa…",https://www.lemonde.fr/international/article/2025/03/07/cryptomonnaies-donald-trump-octroie-une-reserve-strategique-de-bitcoins-aux-etats-unis_6576856_3210.html,https://img.lemde.fr/2025/01/10/0/0/6336/4224/1440/960/60/0/059cddc_ftp-import-images-1-ri7jaicfrbbq-ad4bc10da093425c8bf04f8bd57ec129-0-7385bd238e72402f961b3bfb67f19a50.jpg,2025-03-07T02:37:48Z,"Donald Trump, alors candidat à lélection présidentielle, sexprime lors de la conférence Bitcoin 2024, le 27 juillet 2024, à Nashville (Tennessee). MARK HUMPHREY / AP
Le conseiller à lintelligence ar… [+2882 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Dan DeFrancesco,How to protect yourself from a recession,"The economy might take a dive, but you don't have to let it take you down with it.",https://www.businessinsider.com/how-to-protect-yourself-from-recession-2025-3,https://i.insider.com/678671d28951662c9f1ffba4?width=1200&format=jpeg,2025-03-10T12:52:26Z,"Bartolome Ozonas/Getty Images
<ul><li>This post originally appeared in the Business Insider Today newsletter.</li><li>You can sign up for ]</li><li>Business Insider's daily newsletter here.</li></ul… [+8839 chars]"
"{'id': None, 'name': 'Flowingdata.com'}",Nathan Yau,Rise and fall and rise again for bitcoin,"There was a moment a few years ago when cryptocurrency was mentioned everywhere you went. Then it faded for a while. But now it’s kind of back. With the new administration, Financial Times (p…",https://flowingdata.com/2025/02/14/rise-and-fall-and-rise-again-for-bitcoin/,https://flowingdata.com/wp-content/uploads/2025/02/bitcoin-trump.png,2025-02-14T18:59:37Z,"There was a moment a few years ago when cryptocurrency was mentioned everywhere you went. Then it faded for a while. But now it’s kind of back. With the new administration, Financial Times (paywalled… [+172 chars]"
"{'id': None, 'name': 'Faz.net'}",Olaf Wittrock,Paraguays Traum vom grünen Bitcoin,"In dem lateinamerikanischen Land gibt es billigen Strom aus Wasserkraft im Überfluss. Darauf setzen Investoren, die Bitcoins schürfen wollen, ohne dem Klima zu schaden. Doch das muss nicht so bleiben.",https://www.faz.net/pro/weltwirtschaft/finanzwelt/paraguays-traum-vom-gruenen-bitcoin-newsletter-f-a-z-pro-weltwirtschaft-110319864.html,https://media1.faz.net/ppmedia/pro/weltwirtschaft/802127809/1.10320267/facebook_teaser_fplus/das-itaipu-wasserkraftwerk-an.jpg,2025-02-26T16:01:57Z,"Die Organisation Bitcoin Paraguay weiß genau, womit sie in der Szene überzeugen kann: Auf dem Netzwerk X strahlt einem im Profilbild der Staudamm des Wasserkraftwerk Itaipú unweit der Iguazú-Wasserfä… [+317 chars]"
"{'id': None, 'name': 'Gizmodo.jp'}",岡本玄介,ビットコイン入りHDDを捨てられた男、ゴミ埋立地ごと購入に乗り出す,"Image:Shutterstock過去の間違いを正すための執念だそうな。2013年のこと、当時貯めていた7,500ビットコインにアクセスする鍵を保存したハードディスクが、恋人の手違いで捨てられてしまった英国人男性ジェームズ・ハウエルズさん。ジェームズ・ハウエルズさんImage:BBC当時も世界的な話題になりましたが、2025年になって新たな動きが出てきました。探したいのに探せないHDDはゴミの埋",https://www.gizmodo.jp/2025/02/buying-landfill-to-salvage-bitcoin.html,https://media.loom-app.com/gizmodo/dist/images/2025/02/18/shutterstock_1496059370.jpg?w=1280&h=630&f=jpg,2025-02-18T02:00:00Z,"20137,500
Image: BBC
Video: BBC News / YouTube
2025
HDD10
102024952
20252026
AI
Heres the plan: Im buying the landfill.
Thats right. If the government wont let me search for my hard drive wi… [+716 chars]"
"{'id': None, 'name': 'Theregister.com'}",Brandon Vigliarolo,Crypto takes a dip as Trump signs Bitcoin Reserve order,"With no allowance to sell and little room to buy, and markets on the slide, it's UB40 time: Red, red, whine
Comment It's official: President Donald Trump signed an executive order Thursday to create a US Bitcoin reserve and stockpile of related digital assets…",https://www.theregister.com/2025/03/07/trump_signs_bitcoin_reserve_eo/,https://regmedia.co.uk/2025/03/07/shutterstock_bitcoin_trump.jpg,2025-03-07T20:36:12Z,"Comment It's official: President Donald Trump signed an executive order Thursday to create a US Bitcoin reserve and stockpile of related digital assets, though instead of boosting the value of the co… [+6779 chars]"
"{'id': None, 'name': 'Golem.de'}",Andreas Donath,USA: Trump kündigt Krypto-Vermögenswerte für nationale Reserve an,"Donald Trump hat Einzelheiten dazu bekannt gegeben, was eine strategische Kryptowährungsreserve der USA beinhalten könnte. (Bitcoin, Politik)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fusa-trump-kuendigt-krypto-vermoegenswerte-fuer-nationale-reserve-an-2503-193860.html&referer=https%3A%2F%2Ft.co%2F3d7b67ccf5,,2025-03-03T06:32:02Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
"{'id': None, 'name': 'Golem.de'}",Achim Sawall,DIW-Chef: Kryptowährungen könnten Auslöser neuer Finanzkrise werden,"Der Präsident des Deutschen Instituts für Wirtschaftsforschung (DIW) sieht den Einfluss der Krypto-Branche auch in Europa wachsen. (Bitcoin, Wirtschaft)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fdiw-chef-kryptowaehrungen-koennten-ausloeser-neuer-finanzkrise-werden-2502-193525.html&referer=https%3A%2F%2Ft.co%2Fbc0829e891,,2025-02-20T06:41:01Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",,Better Cryptocurrency to Buy and Hold for 10 Years: Bitcoin vs. Cardano,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_7c0ad1b8-4891-4f50-ada6-c3cb7cca3dd9,,2025-02-25T10:45:00Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
"{'id': None, 'name': 'MarketWatch'}",Tomi Kilgore,Strategy’s stock surges just in time. Why it’s not enough to halt the bear trend.,"The stock’s rally, on the back of Trump’s call for a U.S. crypto reserve, comes a day after it flirted with dropping below a key technical indicator",https://www.marketwatch.com/story/strategys-stock-surges-just-in-time-why-its-not-enough-to-halt-the-bear-trend-c8a2f84f,https://images.mktw.net/im-69619304/social,2025-03-03T16:47:00Z,"Shares of Strategy charged higher Monday, as investors in the software company and de facto bitcoin play cheered President Trumps call for a U.S. strategic crypto reserve, but then backed off after h… [+178 chars]"
"{'id': 'die-zeit', 'name': 'Die Zeit'}",ZEIT ONLINE: News -,Kryptowährungen: Bitcoin hält sich nach Kurssprung über 90.000 US-Dollar,Hier finden Sie Informationen zu dem Thema „Kryptowährungen“. Lesen Sie jetzt „Bitcoin hält sich nach Kurssprung über 90.000 US-Dollar“.,https://www.zeit.de/news/2025-03/03/bitcoin-haelt-sich-nach-kurssprung-ueber-90-000-us-dollar,https://img.zeit.de/news/2025-03/03/bitcoin-haelt-sich-nach-kurssprung-ueber-90-000-us-dollar-image-group/wide__1300x731,2025-03-03T10:47:06Z,"Der Bitcoin hat sich nach dem Kurssprung vom Sonntag zum Start in die neue Woche auf hohem Niveau gehalten. Zwar sank der Kurs am späten Vormittag um rund zweieinhalb Prozent auf 91.892 US-Dollar, al… [+2239 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Kenneth Niemeyer,What you need to know about the 'Ghost' cyberattacks and why the FBI is concerned,"The FBI is warning about a Chinese ransomware group called ""Ghost.""",https://www.businessinsider.com/ghost-cyberattacks-ransomware-what-you-need-to-know-2025-2,https://i.insider.com/67bbac30c040bd1b4ca2e7ff?width=1200&format=jpeg,2025-02-24T00:04:27Z,"The FBI is warning about a Chinese ransomware group called ""Ghost.""Witthaya Prasongsin/Getty Images
<ul><li>The FBI has issued a warning about a Chinese ransomware group called Ghost.</li><li>Ghost … [+3118 chars]"
"{'id': 'die-zeit', 'name': 'Die Zeit'}",ZEIT ONLINE: Geld - Gerrit-Freya Klebe,Kryptoreserve: Was bringt ein Fort Knox für Kryptowährungen?,Aus Bitcoin und vier anderen digitalen Währungen will Donald Trump eine nationale Kryptoreserve schaffen. Er schürt die Gier – und stößt auf skeptische Märkte.,https://www.zeit.de/geld/2025-03/kryptoreserve-bitcoin-kurs-entwicklung-donald-trump,https://img.zeit.de/geld/2025-03/trump-kryptowaehrungen-bild-2/wide__1300x731,2025-03-08T04:56:10Z,"Ein großer Teil der Goldreserven der USA lagert in einem Granitgebäude unter einem Dach, das selbst Bombeneinschläge überstehen soll. Im Bullion Depository der Vereinigten Staaten, besser bekannt als… [+647 chars]"
"{'id': 'die-zeit', 'name': 'Die Zeit'}",ZEIT ONLINE: Ausland - Katharina James,"Der US-Überblick am Morgen: Trump äußert Zweifel an Nato-Beistandspflicht, ordnet Kryptoreserve an","""Wenn sie nicht zahlen, werde ich sie nicht verteidigen"", sagt der US-Präsident über Nato-Partner. Die USA sollen eine Bitcoin-Reserve anlegen. Der US-Überblick am Morgen",https://www.zeit.de/politik/ausland/2025-03/us-ueberblick-morgen-donald-trump-nato-beistandsverpflichtung-kryptoreserve,https://img.zeit.de/politik/ausland/2025-03/us-ueberblick-morgen-donald-trump-nato-beistandsverpflichtung-kryptoreserve-bild/wide__1300x731,2025-03-07T03:59:40Z,"Trump stellt Nato-Beistandspakt erneut in Frage
US-Präsident Donald Trump hat erneut die Beistandsverpflichtungen innerhalb der Nato in Frage gestellt. ""Wenn sie nicht zahlen, werde ich sie nicht ve… [+4970 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",,"Bitcoin Chart Shows Back to Back Weekly Hammer Candles, Seen Only a Handful Of Times in BTC History",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d2c48ccf-abbd-42d9-b461-54c8c52dd054,,2025-03-06T10:30:38Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
"{'id': None, 'name': 'Faz.net'}","Jan Hauser, Inken Schönauer, Martin Hock",Wie wir reich werden – Jubiläumsfolge mit Überraschungen,"Von Aktien bis Zinsen: In der 200. Folge geht es um den richtigen Anlagemix, vermietete Immobilien und Bitcoin. Was ist alles für die Kapitalanlage zu beachten?",https://www.faz.net/podcasts/f-a-z-finanzen-immobilien/alles-was-sie-ueber-geldanlage-wissen-muessen-110303911.html,https://media1.faz.net/ppmedia/aktuell/feuilleton/1910949986/1.10304339/facebook_teaser_fplus/konfetti-zum-jubilaeum-wie.jpg,2025-02-25T06:33:57Z,"Zugang zu allen FAZ+ Beiträgen12,80 
 jetzt nur 0,99 
Zugang zu allen FAZ+ Beiträgen12,80 
 jetzt nur 0,99 
<ul><li>Mit einem Klick online kündbar</li></ul>"
"{'id': None, 'name': 'tagesschau.de'}",,Kryptowährung Bitcoin sackt immer weiter ab,Erstmals seit November ist der Wert des Bitcoin wieder unter die Marke von 80.000 Dollar gefallen. Auch die Kryptowährung wird belastet durch Trumps Zollpläne. Dazu kommt Enttäuschung über bislang ausgebliebene Maßnahmen.,https://www.tagesschau.de/wirtschaft/finanzen/bitcoin-kryptowaehrung-verluste-100.html,https://images.tagesschau.de/image/937d2e70-6416-4a09-b5f8-785376bb1a9d/AAABlUwHAaI/AAABkZLhkrw/16x9-1280/nyse-388.jpg,2025-02-28T11:01:12Z,"Stand: 28.02.2025 12:01 Uhr
Erstmals seit November ist der Wert des Bitcoin wieder unter die Marke von 80.000 Dollar gefallen. Auch die Kryptowährung wird belastet durch Trumps Zollpläne. Dazu kommt… [+3688 chars]"
"{'id': None, 'name': 'Obscura.net'}",,Obscura VPN – Privacy that's more than a promise,Available for Mac. Download today.,https://obscura.net/,https://obscura.net/og.png,2025-02-20T01:06:56Z,"Thanks for reaching the bottom not everyone makes it.
Im incredibly lucky to have the help of a crack(ed) team of privacy optimists to build Obscura.
Among us, weve served on the Nix RFC Steering C… [+822 chars]"
"{'id': None, 'name': 'Kaspersky.com'}",,Kaspersky exposes hidden malware on GitHub stealing personal data,Kaspersky Global Research & Analysis Team (GReAT) discovered hundreds of open source repositories with multistaged malware targeting gamers and cryptoinvestors within a new campaign that was dubbed by Kaspersky as GitVenom. The infected projects include an au…,https://www.kaspersky.com/about/press-releases/kaspersky-exposes-hidden-malware-on-github-stealing-personal-data-and-485000-in-bitcoin,,2025-02-28T15:06:50Z,Kaspersky Global Research &amp; Analysis Team (GReAT) discovered hundreds of open source repositories with multistaged malware targeting gamers and cryptoinvestors within a new campaign that was dubb… [+3503 chars]
"{'id': 'business-insider', 'name': 'Business Insider'}",Dan DeFrancesco,People are pumping the brakes on their expectations of economic growth,"The US economy is starting to look sluggish, and DOGE's government cuts could be speeding up its slowdown.",https://www.businessinsider.com/us-economy-slowing-signs-slowing-doge-sluggish-growth-2025-2,https://i.insider.com/67c04fdab1834fe311659f69?width=1200&format=jpeg,2025-02-27T13:46:54Z,"United States Treasury DepartmentGetty Images
<ul><li>This excerpt originally appeared in the Business Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.… [+9815 chars]"
"{'id': None, 'name': 'heise online'}",Dennis Schirrmacher,l+f: Ransomware-Attacke via Schneckenpost,Analoge Erpressung: Schlagen die Cyberkriminellen der BianLian-Bande neue Wege ein?,https://www.heise.de/news/l-f-Ransomware-Attacke-via-Schneckenpost-10305347.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/8/1/3/3/0/5/2024-08-30-Bing_Designer-Quishing-QR-Code-Phishing-3-ae55fd60b6b94115.jpg,2025-03-05T13:26:00Z,"In den USA haben CEOs von verschiedenen Firmen und Gesundheitseinrichtungen Erpresserbriefe per Post bekommen. Als Absender findet sich die Ransomwaregang BianLian auf den Kuverts.
Normalerweise ver… [+1278 chars]"
"{'id': None, 'name': 'Presse-citron'}",Jean-Yves Alric,Donald Trump va créer une « réserve crypto » : de quoi s’agit-il ?,Une initiative qui génère de grosses critiques.,https://www.presse-citron.net/donald-trump-va-creer-une-reserve-crypto-de-quoi-sagit-il/,https://www.presse-citron.net/app/uploads/2024/11/trump-crypto-bitcoin.jpg,2025-03-07T14:03:32Z,"Donald Trump a signé ce jeudi 6 mars un décret visant à créer un stock national de Bitcoin et dautres monnaies numériques. Voici tout ce quil faut savoir sur cette initiative, les espoirs quelle susc… [+2342 chars]"
"{'id': None, 'name': 'heise online'}",Andreas Knobloch,"Dienstag: Lichtblick für Intel, Washingtons Kehrwende sorgt für Spekulationen",Tests von Nvidia und Broadcom + Unsicherheit in der Security-Branche + Kursrally bei Kryptoassets + Datenschutz bedroht Webcams + Etappensieg für Autoindustrie,https://www.heise.de/news/Dienstag-Lichtblick-fuer-Intel-Washingtons-Kehrwende-sorgt-fuer-Spekulationen-10302765.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/8/1/1/9/5/5/Wochentage-source-sans-5ca3bd527b323ae3.png,2025-03-04T05:15:00Z,Laut einem exklusiven Reuters-Bericht testen die Chipanbieter Nvidia und Broadcom Chips auf dem 18A-Verfahren von Intel. Die Tests könnten für Intel zu Aufträgen im Wert von Hunderten Millionen US-Do… [+4766 chars]
"{'id': None, 'name': 'Quartz India'}",Vinamrata Chaturvedi and Andy Mills,"Bitcoin price plunges below $85,000. Here's what might be causing it",Bitcoin ETFs experienced a record outflow of over $1 billion in a single day,https://qz.com/bitcoin-price-plunges-below-85-000-solara-ether-down-1851766672,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/89757afb441b2066ffd77310806c9db6.jpg",2025-02-26T21:09:00Z,"Our free, fast, and fun briefing on the global economy, delivered every weekday morning."
"{'id': None, 'name': 'Golem.de'}",Johannes Hiltscher,8.000 Bitcoin im Müll: Der Schatz auf der Deponie ist fast sicher verloren,"Ein Brite will eine Festplatte suchen, die den Schlüssel zu Bitcoins im Millionenwert enthält. Ein Experte sagt: Seine Chancen sind minimal. Eine Recherche von Johannes Hiltscher (Datenrettung, Speichermedien)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2F8-000-bitcoin-im-muell-der-schatz-auf-der-deponie-ist-fast-sicher-verloren-2502-193464.html&referer=https%3A%2F%2Ft.co%2F8869316db6,,2025-02-20T09:45:02Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
"{'id': None, 'name': 'Quartz India'}",Vinamrata Chaturvedi,"Bitcoin fell all the way to $84,000 as Trump's crypto reserve failed to impress","Just hours before the White House Crypto Summit, President Donald Trump signed an executive order to establish a strategic Bitcoin reserve and a separate stockpile of other digital assets. The news plunged Bitcoin to $84,000 Thursday evening, however, as the …",https://qz.com/bitcoin-plunged-flat-trump-signed-bitcoin-reserve-order-1851768406,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/0d78143aeaaf272fb3fc5ac1fa3d469e.jpg",2025-03-07T15:30:00Z,"In This Story
Just hours before the White House Crypto Summit, President Donald Trump signed an executive order to establish a strategic Bitcoin reserve and a separate stockpile of other digital ass… [+1619 chars]"
"{'id': None, 'name': 'heise online'}",Niklas Jan Engelking,Coinbase erklärt SEC-Verfahren für beendet – die Behörde allerdings nicht,"Der Coinbase-Chef sagt, das Verfahren der US-Börsenaufsicht SEC gegen seine Firma sei beendet. Die Behörde bestätigt das derweil nicht.",https://www.heise.de/news/Coinbase-erklaert-SEC-Verfahren-fuer-beendet-die-Behoerde-allerdings-nicht-10292289.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/8/0/6/4/8/6/shutterstock_1235106964-633f52bc7a1b7e35.jpg,2025-02-23T13:31:00Z,"Inhaltsverzeichnis
Lange schwebte es wie ein Damoklesschwert über dem amerikanischen Markt für Kryprowährungen, jetzt ist es angeblich eingestellt: Das Verfahren, welches die US-Börsenaufsicht Secur… [+3749 chars]"
"{'id': None, 'name': 'Faz.net'}",dpa,Umfrage: Kryptoanleger nicht zu bremsen,"Als Bitcoin 2009 auf den Markt kam, war das digitale Geld zunächst quasi wertlos. Mittlerweile hat der Kurs schwindelerregende Höhen erreicht. Kleinanleger rund um den Globus hoffen auf mehr.",https://www.faz.net/aktuell/wirtschaft/umfrage-kryptoanleger-nicht-zu-bremsen-110314496.html,https://media0.faz.net/ppmedia/aktuell/wirtschaft/2186921166/1.10314544/facebook_teaser/kryptowaehrung-auf-einer.jpg,2025-02-23T10:25:52Z,"Die stetigen Kurssteigerungen von Bitcoin und anderem digitalen Geld befeuern den Boom bei privaten Kryptoanlegern. Eine große Mehrheit von ihnen plant in diesem Jahr, mehr Geld in Kryptowährungen zu… [+2228 chars]"
"{'id': None, 'name': 'Quartz India'}",Vinamrata Chaturvedi,"If Trump were to create a crypto reserve, here's how it might work","President Trump has unveiled a new proposal for a strategic crypto reserve, shifting his focus from a Bitcoin-only reserve to a more diversified approach. His plan involves a reserve comprising Bitcoin — often dubbed “digital gold” for its inflation-hedging p…",https://qz.com/trump-proposed-crypto-bitcoin-reserve-how-it-might-look-1851767694,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/430f1fd3ecf88b5db7dc86eb1877b0a9.jpg",2025-03-04T20:28:01Z,"President Trump has unveiled a new proposal for a strategic crypto reserve, shifting his focus from a Bitcoin-only reserve to a more diversified approach. His plan involves a reserve comprising Bitco… [+2704 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}",ABC News,WATCH: Endangered cheetah sanctuary breaks ground in Africa,Cheetah Conservation Fund founder Laurie Marker discusses her organization’s fight to save cheetahs throughout the continent.,https://abcnews.go.com/International/video/endangered-cheetah-sanctuary-breaks-ground-africa-119564037,https://i.abcnewsfe.com/a/f16d0a20-df78-4493-8859-cecdb3e0e836/250307_abcnl_12p_marker_hpMain_16x9.jpg?w=992,2025-03-07T19:01:08Z,"<ul><li>A look at tariffs, Trump and Elon Musk's cabinet meeting
</li><li>Trump's new tariff reversal as DOD begins first round of layoffs
</li><li>Gene Hackmans and wife's cause of death revealed… [+4424 chars]"
"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Al Jazeera,"Trump names 5 cryptocurrencies for national reserve, sending prices soaring","US president says Bitcoin, Ethereum, XRP, Solana, and Cardano will be included in 'Crypto Strategic Reserve'.",https://www.aljazeera.com/economy/2025/3/3/trump-names-5-cryptocurrencies-for-national-reserve-sending-prices-soaring,https://www.aljazeera.com/wp-content/uploads/2025/03/2025-03-02T162408Z_1329528509_RC2KTV9SLJ66_RTRMADP_3_USA-TRUMP-CRYPTO-1740977595_b6dc0f-1740977719.jpg?resize=1200%2C630&quality=80,2025-03-03T06:39:14Z,"United States President Donald Trump has named five cryptocurrencies for his proposed reserve of digital assets, sending prices of the tokens soaring.
Bitcoin, Ethereum, XRP, Solana, and Cardano wil… [+1964 chars]"
"{'id': None, 'name': 'tagesschau.de'}",,Trump will Bitcoin und Co. für die strategische Reserve,"Bitcoin, Ether und ein paar andere Kryptowährungen sollen nach dem Willen von US-Präsident Trump künftig Teil der US-Reserve sein. Wie das funktionieren soll, ist unklar - aber die Kurse ziehen an.",https://www.tagesschau.de/wirtschaft/boerse/bitcoin-reserve-usa-100.html,https://images.tagesschau.de/image/045c7cb9-6d0d-4050-9f98-bab02f5ca019/AAABk5WQ5io/AAABkZLhkrw/16x9-1280/trump-bitcoin-102.jpg,2025-03-03T09:10:38Z,"Stand: 03.03.2025 10:10 Uhr
Bitcoin, Ether und ein paar andere Kryptowährungen sollen nach dem Willen von US-Präsident Trump künftig Teil der US-Reserve sein. Wie das funktionieren soll, ist unklar … [+2406 chars]"
